pair_id,file_1,file_2,x1,y1,x2,y2,distance
1,P065.png,P044.png,12.147324,4.735137,12.158181,4.7269382,0.013604953893344401
2,P104.png,P145.png,5.8230104,9.322727,5.8209467,9.339756,0.017153591422497155
3,P213.png,P209.png,-1.6905999,4.420289,-1.6739932,4.426525,0.01773894531504047
4,P153.png,P192.png,6.7063518,12.959693,6.689633,12.947302,0.020809977281102326
5,P162.png,P022.png,-2.2192416,3.8264196,-2.2183723,3.803853,0.02258333717699822
6,P264.png,P155.png,-1.0416802,4.2567797,-1.0504278,4.2790785,0.023953224985374878
7,P244.png,P144.png,10.83866,5.6332088,10.844281,5.6090713,0.024783352219786635
8,P016.png,P017.png,6.0143104,9.545455,6.0367208,9.534167,0.02509272747550596
9,P299.png,P057.png,-2.733047,3.7544396,-2.7084496,3.747872,0.025459093788271592
10,P175.png,P240.png,6.464475,12.428119,6.4840393,12.4107,0.02619510250962964
11,P158.png,P136.png,5.933048,11.941208,5.9046855,11.940762,0.02836600645579148
12,P039.png,P028.png,4.712644,12.168879,4.6852565,12.176962,0.028555385573477532
13,P217.png,P287.png,3.2196188,8.202347,3.2012541,8.17995,0.028963560124577205
14,P184.png,P178.png,12.4553175,5.2886577,12.42588,5.290275,0.02948189385945236
15,P198.png,P223.png,4.215335,13.442119,4.2194085,13.412683,0.029716518945698052
16,P200.png,P122.png,-1.2856456,4.1462445,-1.2557396,4.147194,0.029921069269830566
17,P284.png,P197.png,12.308194,5.090876,12.337521,5.084918,0.029926087164880332
18,P014.png,P292.png,3.6622372,10.632437,3.6381304,10.61183,0.03171413336731733
19,P112.png,P300.png,3.5241714,8.681029,3.535763,8.714411,0.03533727655833104
20,P263.png,P254.png,4.8714976,13.654766,4.853058,13.687563,0.037625284811679746
21,P273.png,P249.png,4.577029,13.365728,4.5376806,13.375731,0.0405999580241158
22,P282.png,P036.png,-0.5670448,7.3807545,-0.5402156,7.347354,0.042841561279789935
23,P199.png,P266.png,11.167973,5.133882,11.136052,5.1626983,0.04300382990723069
24,P189.png,P259.png,4.8129387,12.66347,4.7714033,12.675463,0.043232181325489456
25,P185.png,P146.png,-1.2091044,4.157849,-1.2006104,4.2008862,0.043867398143040665
26,P149.png,P137.png,-0.38734445,7.8145866,-0.43061662,7.826747,0.04494837065644203
27,P064.png,P181.png,1.8841547,9.693532,1.8614239,9.654213,0.04541666026514861
28,P041.png,P196.png,-0.3680894,7.165839,-0.35414478,7.1179,0.04992594664044377
29,P187.png,P183.png,4.3708057,9.304544,4.389858,9.351074,0.050279528988347415
30,P204.png,P106.png,3.7031891,11.414499,3.6820717,11.460681,0.05078111565099764
31,P030.png,P193.png,2.0550847,9.275332,2.098731,9.302176,0.05124060733139212
32,P133.png,P043.png,4.41615,11.593832,4.459204,11.563505,0.052662831722193486
33,P271.png,P126.png,11.262991,4.8118753,11.2201185,4.846433,0.05506619548815779
34,P072.png,P031.png,-0.7146001,7.5802393,-0.72571874,7.635398,0.056268164543902405
35,P019.png,P232.png,3.042343,9.240002,3.0016305,9.200873,0.05646756854381144
36,P205.png,P229.png,-0.28636473,6.553502,-0.23091903,6.565793,0.056791674825541184
37,P236.png,P208.png,3.507582,9.124773,3.4507785,9.127989,0.05689446605997812
38,P066.png,P062.png,4.8701386,10.781514,4.8330812,10.827707,0.05922030178714108
39,P173.png,P134.png,-1.0295265,4.2143173,-0.9942455,4.2625747,0.059778973023630805
40,P288.png,P047.png,5.9720483,9.360568,5.9501534,9.419314,0.062693533653878
41,P059.png,P243.png,3.9884267,12.867168,3.9752643,12.928527,0.06275488550511553
42,P298.png,P080.png,11.475026,4.9842877,11.418476,5.0127244,0.06329730173467056
43,P290.png,P190.png,4.12732,11.357779,4.184568,11.387608,0.06455310019665912
44,P238.png,P138.png,12.515872,5.364375,12.559871,5.3153663,0.06586170872889606
45,P248.png,P296.png,3.043628,8.167964,3.0962133,8.125613,0.06751904158894739
46,P163.png,P242.png,-0.7738499,6.2447605,-0.7702889,6.3124585,0.06779159184589195
47,P283.png,P194.png,5.9579854,13.1628,6.022969,13.140234,0.06879020733331173
48,P073.png,P094.png,6.65145,12.837505,6.721571,12.844178,0.07043779929838832
49,P212.png,P076.png,4.5797896,9.292551,4.5136323,9.317298,0.07063428595441394
50,P063.png,P246.png,-0.15638585,6.323603,-0.22717135,6.319192,0.0709228026184104
51,P113.png,P119.png,-2.4768639,3.803247,-2.473064,3.8749862,0.07183976654089307
52,P227.png,P226.png,3.2182074,9.126437,3.1881316,9.059066,0.07377943742425751
53,P011.png,P009.png,1.8453261,9.499204,1.8195071,9.569447,0.07483782339165101
54,P078.png,P052.png,-1.9307172,4.119821,-1.9132782,4.0466943,0.07517734348784834
55,P056.png,P024.png,10.922833,5.770273,10.984945,5.814211,0.07608185321086669
56,P179.png,P008.png,5.595688,10.922293,5.6529284,10.973055,0.07650649669250391
57,P161.png,P037.png,5.264484,12.677142,5.3410344,12.676087,0.07655766953845915
58,P115.png,P269.png,3.9339385,11.198816,3.9043374,11.1210165,0.08324053893062061
59,P001.png,P040.png,-0.23884635,7.2996726,-0.25098133,7.216964,0.08359408025428847
60,P260.png,P224.png,1.5216622,9.774341,1.4703028,9.844396,0.08686478569224695
61,P096.png,P182.png,2.4915223,7.7853074,2.5641472,7.841599,0.09188645346605791
62,P005.png,P045.png,5.2115374,12.316443,5.288852,12.367506,0.092655152809545
63,P277.png,P097.png,11.0209875,5.634995,11.000652,5.7261443,0.0933901892638618
64,P207.png,P082.png,3.965413,9.061282,3.9849706,9.154046,0.09480326689391994
